nIdPessoa;data_referencia
266253;2021-08-05
126882;2019-12-14
244643;2022-04-05
313454;2021-10-14
88936;2016-11-16
178005;2019-04-20
377175;2023-02-07
175140;2018-04-08
45143;2016-04-09
359655;2022-12-06
277287;2021-02-09
261859;2021-04-21
137878;2019-03-15
293587;2021-06-03
84630;2020-06-03
321762;2021-12-09
401950;2023-10-06
396927;2023-06-06
226190;2019-09-19
225351;2020-02-18
385607;2023-07-20
271803;2022-10-06
84455;2016-03-04
295800;2021-11-03
99455;2019-08-22
400552;2023-06-10
382332;2023-02-11
182624;2019-08-03
406963;2023-08-03
181268;2020-09-02
22029;2015-11-25
21470;2017-12-07
74683;2015-12-02
223094;2021-01-05
234323;2019-11-21
205845;2020-04-22
74644;2016-07-08
179556;2018-04-10
160763;2017-08-03
359921;2022-10-03
31415;2017-11-15
49583;2017-07-07
218978;2019-09-06
290251;2021-07-03
399203;2023-06-13
317857;2021-09-17
237372;2021-01-01
169601;2018-04-14
148477;2018-01-02
150991;2017-06-06
410546;2023-09-22
83725;2016-07-21
409305;2023-08-03
90413;2016-10-19
155546;2018-07-17
306431;2023-01-17
30198;2017-05-04
81206;2016-04-05
102341;2018-06-21
233092;2020-08-05
53074;2017-07-05
347068;2022-05-03
409695;2023-10-04
317689;2021-09-04
127240;2016-12-01
241064;2020-08-19
269407;2020-08-05
72758;2018-09-04
289525;2021-02-17
143782;2017-08-05
62979;2015-11-03
156018;2017-05-16
198432;2019-01-17
115464;2019-11-05
408858;2023-09-07
254320;2021-08-10
144651;2017-08-16
358124;2022-11-08
284354;2022-03-16
251699;2022-03-22
327895;2021-12-17
171891;2018-09-04
358433;2023-01-05
147091;2022-06-15
253125;2021-03-20
131055;2016-11-10
24243;2016-10-05
99274;2021-02-10
135196;2017-03-04
172526;2018-11-03
99759;2015-11-03
265399;2021-02-19
36592;2017-08-15
200091;2019-01-20
127501;2016-11-09
280181;2020-12-19
402372;2023-10-10
99890;2017-07-18
14245;2016-04-06
32245;2016-11-10
7247;2017-06-08
216887;2019-04-23
318957;2021-10-26
114279;2017-05-18
57045;2017-05-12
129603;2017-07-04
375935;2023-02-03
260993;2020-07-17
12386;2017-12-12
97010;2016-10-04
381828;2023-07-04
167912;2019-07-04
202964;2019-03-12
276592;2023-07-06
268513;2020-08-05
251097;2020-05-07
162600;2018-04-03
228177;2020-06-13
33394;2016-07-13
309133;2023-09-21
306387;2022-03-03
328569;2022-02-10
319321;2023-02-01
234305;2020-09-02
98877;2019-10-05
247285;2020-05-16
159424;2018-08-07
250348;2020-10-06
341679;2022-04-22
249100;2020-07-10
372792;2023-01-03
41050;2016-04-15
25247;2017-10-14
35847;2016-01-09
126165;2020-06-03
176930;2018-11-15
325456;2023-06-10
153423;2018-11-13
360467;2022-10-25
286665;2020-12-09
12362;2017-04-12
366245;2023-06-08
39852;2020-04-16
1451;2020-09-20
291023;2021-08-11
94722;2019-11-05
288448;2023-03-03
104581;2016-01-07
385618;2023-05-09
29847;2015-12-18
71191;2015-11-03
9264;2018-05-09
187497;2019-11-05
127246;2017-05-03
317808;2022-05-03
181405;2018-04-03
260135;2020-08-18
235519;2020-03-14
285074;2021-02-02
233928;2020-01-19
366501;2023-11-05
110814;2016-02-02
192362;2018-10-17
337941;2022-09-13
368145;2023-08-05
190915;2018-09-04
86182;2015-11-03
264732;2020-08-22
117326;2016-08-03
383409;2023-09-02
29428;2017-03-07
247156;2020-11-18
46436;2016-05-13
293213;2023-01-01
281463;2023-11-03
332547;2023-07-05
351367;2022-10-06
304295;2021-07-21
214910;2019-07-07
404805;2023-08-03
94552;2016-05-17
